"Assay",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax","grp"
"MCP-3","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,15,0.699,0.790173913043478,"ns",0.69548,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"MCP-3","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,29,0.093,0.403,"ns",2.81704,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"MCP-3","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,32,0.026,0.0614545454545455,"ns",4.9386,5,7,"CD19 CAR_EGFRvIII CAR"
"MCP-3","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,29,0.093,0.186,"ns",7.06016,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"MCP-3","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,24,0.394,0.788,"ns",9.18172,5,6,"CD19 CAR_CD19-SGRP CAR"
"MCP-3","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,29,0.093,0.2015,"ns",11.30328,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"MCP-3","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,15,0.699,1,"ns",13.42484,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CXCL10","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,9,0.18,0.246315789473684,"ns",2.16548,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CXCL10","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,12,0.394,0.7657,"ns",4.28704,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CXCL10","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,9,0.18,0.246315789473684,"ns",6.4086,5,7,"CD19 CAR_EGFRvIII CAR"
"CXCL10","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,9,0.18,0.312,"ns",8.53016,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CXCL10","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,5,0.041,0.2132,"ns",10.65172,5,6,"CD19 CAR_CD19-SGRP CAR"
"CXCL10","NPX.norm","EGFRvIII CAR + aCD47","EGFRvIII-SGRP CAR",6,6,21,0.699,0.826090909090909,"ns",12.77328,8,9,"EGFRvIII CAR + aCD47_EGFRvIII-SGRP CAR"
"CXCL10","NPX.norm","aCD47","EGFRvIII CAR + aCD47",6,6,12,0.394,0.682933333333333,"ns",14.89484,4,8,"aCD47_EGFRvIII CAR + aCD47"
"CAIX","NPX.norm","EGFRvIII CAR","EGFRvIII CAR + aCD47",6,6,6,0.065,0.21125,"ns",1.65348,7,8,"EGFRvIII CAR_EGFRvIII CAR + aCD47"
"CAIX","NPX.norm","EGFRvIII CAR","EGFRvIII-SGRP CAR",6,6,15,0.699,0.826090909090909,"ns",3.77504,7,9,"EGFRvIII CAR_EGFRvIII-SGRP CAR"
"CAIX","NPX.norm","CD19 CAR","EGFRvIII CAR",6,6,25,0.31,0.383809523809524,"ns",5.8966,5,7,"CD19 CAR_EGFRvIII CAR"
"CAIX","NPX.norm","CD19-SGRP CAR","EGFRvIII-SGRP CAR",6,6,14,0.589,0.638083333333333,"ns",8.01816,6,9,"CD19-SGRP CAR_EGFRvIII-SGRP CAR"
"CAIX","NPX.norm","CD19 CAR","CD19-SGRP CAR",6,6,24,0.394,0.788,"ns",10.13972,5,6,"CD19 CAR_CD19-SGRP CAR"
